content,rating,predict_rating
" 她只是想要个朋友，只是想要学校里少点变态老师，最后自己成了变态鬼
        ",0,1
" 还不如拍撕裂末日的续集了，拍了这么不伦不类的东西，不怕被人说江郎才尽啊
        ",0,0
" 个人觉得是宫崎骏最烂的一部。
        ",0,0
" 恶心死了！
        ",0,0
" 演的是八十年代的奋斗故事，无聊，些许感悟。
        ",0,1
" Metzengerstein三星，William Wilson三星，Toby Dammit 一星。前两段起码人物是有感情又血肉的，第三段纯粹疯子卖法拉利、一星给配乐~
        ",0,0
" 这是鬼片吗？百变造型小清新有没有？
        ",0,0
" 看完只记得女主的脸
        ",0,1
" 抄星爷噶片，吖CARE啦，未够班
        ",0,2
" 心心念念的花满楼木有出来……古龙书里写的美女没有一个得其神韵……看完小说和电影一对比，电影糟糕的不是一星半点。
        ",0,0
" 本来应该是哼哈二将的模式被拍得略无趣，唯一的亮点只能是马王，可对于一个硬汉来说，你不让他肉搏而死是不可原谅的
        ",0,0
" 一开始，恐怖份子要求释放政治犯+Palasm独立，并且决不接受讨价还价，后来宣布释放掉囚犯，一个个都弹冠相庆，果然是成不了大事的瘪三。而且那战士一醒来，就能够输入密码启动炸弹——难怪是瘪三们把密码提示问题写在键盘上？
        ",0,1
" 修造一個家
        ",0,2
" 老港片了 现在看有点过时了 不过动作戏还是不错毕竟是宝禾出品的
        ",0,1
" 画面压抑昏暗到极点，很不喜欢，而且我也没看出这片有什么值得禁的地方。
        ",0,0
" 美国一番拍经典变无聊，文化背景不同，出来的效果完全不同
        ",0,0
" 分数全给了那张漂亮的脸蛋
        ",0,1
" 除了输给唐璜那个女的和mechanical doll所有人都丑死了！Fellini thought that Casanova was an evil character because ""he did not love."" ╭(╯^╰)╮
        ",0,0
" I didn't know they've already been working on this ball more than 100 years ago.
        ",0,0
" 好讨厌海鸥食堂又来看这部我真是找虐啊！今天刚从Rhode Island晒的满身通红i回来，比影片里那个单调的海滩好太多倍了。我说你们几个演员一个个穿着黑白working casual，还有长到脚腕的大黑裙子，还运动鞋，这么雷人的服装度的哪门子的假啊！还一个个不苟言笑装深沉装神秘。这也叫度假片治愈系，真是牵
        ",0,0
" 黑泽明导演的电影中是跟人性有关。从三四郎的成长，看到他从莽夫在荷花池中思悟，到一个善战的柔道者，再自我的心理煎熬到一个成功的人。
        ",0,2
" 本乡脸歪以前的绝体绝命遗作！！不二周助为毛又让那只死娘受cos
        ",0,1
" 三重身份变来变去的，差点把自个给玩死，最后只是为了心爱女人的档案，看过最坑爹的电影。
        ",0,0
" 卖力的主演也拯救不了本片烂大街的本质
        ",0,0
" 欧洲第一部3D长篇动画，仅此而已
        ",0,2
" 快进看似乎还不错，但是除了身份互换之外没什么新意，捐精反而狗血。。。
        ",0,0
" 就里面的女主角黑色小背心+豪乳还不错！！！女主角是个狠角色，果断清醒理智，拔枪姿势帅气，部分俯视镜头可见诱人乳沟。
        ",0,1
" 又名：十分的二
        ",0,0
" 我回头想了一下问题不止那么多，这片子整体上失衡啊，收尾的太无力了，都怪前面故弄玄虚。
        ",0,0
" 导演功力差劲还要挑战虐恋情深，故事不深刻，情感没共鸣，为了虐而虐最讨厌了！！
        ",0,0
" 精緻考究的構圖調度,充滿戲劇張力的配樂,手法上可以看到對美國電影的借鑒.同時也暗示了日後韓國類型片的發展走向.好消息是作為驚慄片確實拍出了教人窒息的絕望感,但壞消息是作為懸疑片劇本犯駁過多,而結尾仿效綠窗豔影卻帶不出自嘲的味道,反而令人啼笑皆非
        ",0,2
" 除了开头还算火爆，到底算是什么？
        ",0,0
" 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
        ",0,0
" 肖恩演的几部没一部好看 不可忍受的是最后的镜头居然是P上去的！
        ",0,1
" 查案基本是儿戏，亚裔警察和衰老杀手毫无火花的二人组，好沉闷好无聊。
        ",0,0
" 乖乖，纹身不错。
        ",0,1
" 阴差阳错，一烂到家。
        ",0,1
" 又一典型垃圾导演毁好演员作品。
        ",0,0
" 看过忘了标，就是个俗得掉渣的故事。。想想其实不标也罢
        ",0,0
" 不想看下去
        ",0,0
" 1/10
        ",0,1
" 太扯了 人都能到太空了 哎 人造人这么简单就变出来了
        ",0,0
" 各种变异！
        ",0,0
" boring加混乱啊
        ",0,0
" 这也就拳击？
        ",0,0
" 想起伊藤润二的一篇漫画
        ",0,2
" 還真雷...
        ",0,0
" 只要你小心发觉，香港的很多地方都是有免费好戏看的
        ",0,2
" 2013.05.31  亚当和夏娃在伊甸园里是裸体的，当他们感到罪恶时，他们穿上了衣服。【片子拍的够烂……为选题加一星~
        ",0,0
" 还真不咋地
        ",0,0
" 有点无聊。
        ",0,0
" 除了肌肉，还是肌肉，还有啥？？？
        ",0,0
" 好烂好烂，消遣gay么
        ",0,0
" 放68年的时候那必须给5星，放现在只能给2星
        ",0,0
" 商业化的元素要了作者原意的命
        ",0,0
" 就是来看看他们跳舞的，情节没什么意思。
        ",0,0
" 居然看了这么烂的电影，我的130分钟就这样浪费掉了
        ",0,0
" 一个好的摄影师会征服对象，但一个好的对象会征服摄影师。她征服了我。 小成本的独立电影。剧情平淡，全片无高潮，演员明显和实际年龄不相符，尤其女主，的确适合演站街女，哪像17岁的高中生啊！唯一值得称道的是结局，杀死2个人渣，带着100万刀逃脱法律的制裁，挺好。
        ",0,1
" 还以为能看出什么深意，结果就是个胡编乱糟糟。三顺怎么瘦了跟胖了看起来是一样的啊。。。还是很喜欢鲶鱼女士。
        ",0,1
" 感觉好傻
                
                
",0,0
" 曾哥现在适合打架，不适合剧情，老当益壮。一分给妹子。
        ",0,0
" 我看剩下的8集也就不用看了
        ",0,0
" 财团已经登基为王了，随之而来的是腐化堕落的年代，并且这国家的金权政治将建立人们的偏见。约翰肯尼迪是美国最后一位真正的总统，华尔街的大亨们已经表明了：乖乖听话，否则死路一条。
        ",0,1
" Speechless
                
                
",0,0
" 就是一般性的粉色片。只有最后那个挂在树上遥望富士山的镜头有那么点感觉。讨厌这种主人公说明性的絮絮叨叨的画外音。
                
                
",0,0
" 都不明白有什么好看....
                
                
",0,0
" 亚洲人依然饰演怂b
                
                
",0,1
" 其实意思就是说米国如何如何牛掰，嘁。画面还蛮喜欢。
        ",0,1
" 怎一个烂字了得，这个系列原本可以越拍越好的。
        ",0,0
" 什么玩意……
        ",0,0
" 披着科幻片的神幻B级血浆没逻辑烂片，烂得令人发指。
        ",0,0
" 除了周润发扮女的和他为了兄弟情纠结是否退出江湖两段比较精彩外。其他的只剩下平淡无聊老套。
        ",0,0
" 凯特演的女人真是讨人厌 骄傲自满只会批评人家
        ",0,1
" So boring
        ",0,0
" 肖恩长的真丑！很boring的故事啊
        ",0,0
" 把生宝宝这么神圣的事情亵渎的如此不堪
        ",0,2
" 女主角开挂
                
                
",0,0
" 相比“伦敦上空的鹰”这片实在太乏味了， 食之无味的大段的空战，估计当年勉强算个视效大片吧
        ",0,0
" ★★☆
        ",0,0
" 卖当娜片子拍得烂，当导演也失去。
        ",0,0
" 我想说，好特么无聊的故事和不知所云的题目。不过那些场景犹豫刚去过，好熟悉！
                
                
",0,0
" ridiculous, pretentious, bullshit
        ",0,0
" 看过，但忘记内容了。所以应该是不好看的吧。。。
        ",0,0
" 烂片一部，对比现在3D烂的可以。演员cast很强大，前两部的演员都出现了，史泰龙饰演反派boss。乔治克鲁尼出现了几个镜头。
        ",0,0
" 这节奏。。。
        ",0,0
" 做作
        ",0,0
" 穿墙,穿墙哈哈
        ",0,1
" 老 套
        ",0,1
" Boring
        ",0,0
" 垃圾！
        ",0,0
" 也不知道当时怎么了，居然下了这种烂片
                
                
",0,0
" 什么破玩意儿
        ",0,0
" 一个块头最大的娘炮，看了就删掉
        ",0,1
" 节奏太奇怪了 不能理解= =
        ",0,0
" 吃了个空心汤团，摸你娘真美，哈克曼又被假发耍了
        ",0,1
" 客观的说，我完全无感。。。。
        ",0,0
" 可以负分吗
        ",0,0
" 太随心所欲了吧~~~
        ",0,2
" 艾玛 这真的是儿童片，目标人群13岁top。跟国产片比超前的小科技小吐槽点真牛b，给两分是因为你可是美片啊！拿出点美范儿好吧。人物设计不够精良啊，故事情节过二啊！有点失望呢
                
                
",0,0
" 这海报：抄起一卷卫生纸，风一样冲向卫生间。
        ",0,0
" 我小时候不懂事为了古天乐客串的恶魔还不是天使看的，实在太烂了，珍爱生命，远离烂片
        ",0,0
" 不好看，妈蛋
        ",0,0
" 好无聊
        ",0,0
" 你都死而复生了，咋不去找老相好炒蛋瞎（夜摸瞎）携手笑傲江湖呢？不找就不找呗，咋还莫名其妙的移情别恋了呢？
        ",0,0
" 原来还有比蜘蛛侠更悲催的侠，您还敢再惨点吗？
        ",0,0
" 有点幼稚，适合小孩看
        ",0,1
" 剑乃凶器，剑术是杀人之术，无论用多么美丽的借 口修饰，这始终是事实.。佐罗所秉承的不杀，不见血甚至不重伤的原则，使整个动作场面过于低龄化。相比蝙蝠侠以暴制暴黑暗骑士而言，佐罗的定位太过圣人，脱离现实，作为一个蒙面英雄，一肚子赘肉，两星封顶
        ",0,0
" 美国典型的犯罪影片
        ",0,1
" 不厌其烦的自我展现，使劲欣赏。
        ",0,2
" 拿贬低山区人民来拉升男女主角的优越感。还当成必修电影强加给高中生看
                
                
",0,0
" 节奏很慢很慢，不知道怎么就看不下去，开始快进了，船戏很销魂
        ",0,0
" 那个年代就该把这样的题材留到后面
        ",0,0
" 这部电影号称是动作片，但观众感觉唯一在动的是乱晃的镜头。电影以缓慢晦涩的节奏将巨石强森打造成了一个块头最大的娘炮，无聊的剧情没有丝毫情感共鸣，仿佛已经看了剧组人员是如何为演员的哭戏准备眼药水的。巨石强森的文艺剧情路线彻底失败，完成的是一场差到爆表并且耻于提及的拯救。
        ",0,0
" <<<""裤子都脱了 你就给我看这个?"" 美少年极端的初恋故事 片子里大片的艳色很棒 幽怨得很刺眼 但中间的矛盾碰撞没能让人太动容 最后一定是被电死了吧?!
        ",0,2
" 明显是按照商业套路拍出来的，性，暴力，血，爱情，要啥有啥，不伦不类。
        ",0,0
" 为了大史！
                
                
",0,1
" 只是一个非常简单的复仇故事故弄玄虚搞了两个小时。台词太多而且大部分没有意义。特地来看本金斯利的，戏份还不错，满足了
        ",0,1
" 两个字,拙劣
        ",0,0
" 好乱
        ",0,0
" 打两星是因为我看得睡着了，和09年那部根本没得比。
        ",0,0
" 没超级战舰好看 小刘海挺萌 不过一般美国大片不都有爱情故事么我还奇怪这部怎么没有 但看到小刘海和男主我瞬间明白了点什么
        ",0,0
" 真的这片子普通观众完全可以不用看
                
                
",0,0
" James Ellroy剧本虽好但重复性太高，这部的情节跟Dark Blue几乎完全一样。演员不够出色，存在感稀薄，导演拿捏得也不够好。女主长得像红姑是唯一的看点
        ",0,0
" 我勒个去 这个忘标了 质量一如既往的。。。
        ",0,0
" 最爱的金大毛，可是这片我一点都找不到萌点
        ",0,2
" 百睡不得其解时再看屏幕上那个终字，心都碎了。
        ",0,2
" 节奏冗长的大闷片+老古董，毕竟是父母那辈人出生年代的片子，也没有切肤之痛。虽然只有85min，还是看得我度日如年一般
        ",0,0
" 关于意裔美国小瘪三的昨天和明天，缺少的“今天”段落让这个人生命题不算完整，或不真实。两条故事线未能起到平行的对照关系，照顾到青春照顾不到现实，而且拍得乱糟糟的，这是剪辑的问题。但是如果抱着对80年代“新鼠党”（Brat Pack）的青春来反映其现状，或许还有点儿嚼头
        ",0,1
" 扯吧 这么蠢的计划放现在编剧给骂死
        ",0,0
" 提摩西丑得令人发指 尤其这一部
        ",0,0
" 最后半小时才有点意思，其余除了异国情调，别无他物。情感缺乏铺垫，看起来倍感突兀
        ",0,0
" 烂的不能再烂浪费时间！！！！！！！
        ",0,0
" 真是老了
        ",0,1
" 一颗星给年轻阿汤哥的颜声肉 从他打那个应召call开始就全部渣成粉末 喜剧？？喜你妹啊！！！！！！！
        ",0,0
" 卡婊长得是好看但是演技太令人发指了！
        ",0,0
" 其实画皮2应该叫做心中有鬼2。陈国富果然是个放不下的金牛男啊。掉鞋子那个段子蛮喜欢。
        ",0,1
" 劣质 劣质 劣质 劣质 劣质 劣质
        ",0,0
" 白瞎了莫妮卡
        ",0,0
" 杂乱无章
        ",0,1
" 动作一贯的东洋风
                
                
",0,0
" 呵呵.....不管主题多么隐晦，怎样被解读，导演在用意上多用心，这是个恐怖片好吗！？最基本的恐怖在哪里？！为什么一看到怪我就感觉好出戏
        ",0,0
" 有没有谁能告诉我这片8.3分的理由?????就凭这弱智的对白弱智的设定弱智的铺陈弱智的搞笑还是弱智的的剧情?莫非是这个脑残中二实习生脸美国高中生橄榄球队队员般思维方式的青春期的舰长???????一颗星给福卷,一颗星给做3D和特效化妆的你们辛苦了!!!剩下的真是.........没看过原著的表示鸭梨很大!!!!!!!
        ",0,0
" 对武士电影实在无感
        ",0,0
" 卡司亮瞎了眼
        ",0,1
" 还可以更弱智一点吗？那个反派使坏的那么明显，他们是瞎的吗？
                
                
",0,0
" 瞎
        ",0,0
" 什么玩意。。
        ",0,0
" 浪费了，美人
        ",0,0
" 年代还是久远了点。
        ",0,1
" 搅拌机干什么的？
        ",0,0
" 第一次觉得，中文翻译弱爆了。。。我该去找找其他版本。
        ",0,2
" 没点耐心真心是看不下去的，有人说这片子有什么含义，我实在无法从毫无关联毫无意义的问答中得到什么。唉
        ",0,0
" 唯一亮点是刚开始列数角色时调侃式的评述和生命额度的判断。比如说到英雄人物时“专门摆酷打架，看来他妈的可以活很久”。然后丫刚说完“我是你们的救星”，就转瞬被怪物啃掉了头。
        ",0,0
" 剧情太烂了......
        ",0,0
" 男主的眼睛好邪魅
        ",0,0
" 男的露完，女的穿得严严实实，真BT
        ",0,0
" 男1和男2才是一对嘛
        ",0,0
" 男主一点也不豪门！！！！！！！！！！
        ",0,0
" 是不是我今天心情不适合看动作电影，为毛连范迪塞尔的电影都看不下去，还是今天看的都太太太差了~~~~(╯^╰)
        ",0,0
" 这部看起来脏兮兮的电影表现了大约公元700年左右，罗马帝国崩溃，盎格鲁-撒克逊时期的英国，那些来自欧洲丛林边缘地区不识字不讲卫生的日耳曼部落彻底消灭了文明世界，摧毁了罗马人的石头堡垒住到半穴居的茅草屋里，跟个原始社会似的……而同时期本国正处于高度文明的盛唐——这是本片唯一的观后感。
        ",0,0
" CHC 哪部分有温情的桥段 拜托那些哭的您给讲讲
        ",0,1
" 是看林熙蕾去的~
        ",0,1
" 外星人不懂爱，跑到地球来抓人，抓回去就可以创造爱了？？搞不懂这个动机，更不用说要扮成老师了。小演员们是个亮点。那个主角的妹妹可爱到要爸爸快找个女人嘿咻？太开放了吧。
        ",0,0
" 每多看一部小老头的电影 对他的厌恶就增加一分
        ",0,0
" relly sucks
        ",0,0
" 和第一部如出一辙，毫无新意。
        ",0,0
" 如果是美国人自黑我给打四分，可惜是个法国佬。最后那个爬满蠕虫狰狞的米老鼠。。。
        ",0,0
" 赤裸裸的标题党...
        ",0,0
" 36年版的不知道会不会更好。。
                
                
",0,0
" Christian Slater一出现，整部电影就立刻显得粗糙廉价。整体上，这不是一部在向80年代致敬的动作片，而是让表演、场面以及镜头语言全面退化的碟市水品B级片，我都看困了。
        ",0,0
" 吴君如还是适合搞笑 。
        ",0,1
" 李连杰少林系列电影。
        ",0,1
" 李连杰少林系列电影。
        ",0,1
" 其实里面的短信好弱啊。
        ",0,1
" Uncanny...Woody Allen真能往里掺段子。在戏里他对Diane Keaton说我爱你。
        ",0,2
" 没劲
        ",0,0
" http://www.tudou.com/programs/view/E1B5VNiBrhk/；大师练手作品
        ",0,1
" 没有情节，没有特效，没有表演，除了爱好者，大概没人愿意看完了。
                
                
",0,0
" 印象挺深的，蛮搞笑的。
        ",0,1
" 电视上看的，印象不多了，就化骨龙这个名字有点印象。mark一下。
        ",0,1
" 最没运气的赌神。。。
        ",0,0
" mark。
        ",0,0
" 东拼西凑的小型商业科幻片。虽说主角是超人饰演者布兰登，但这次他的大眼睛也迷不住我了。其他的就不说什么了，狼人的变身我绝对接受不了，尼玛就是头上套了个面具！很惊奇的就是这样一部纯科幻无逻辑的电影稀里糊涂就演完了。·这两颗星完全是送给布兰登和让我惊喜了一下的Kurt Angle【WWE早期明星】
        ",0,0
" 悬疑、剧情，复杂的人性。探长柯南式的推理情节已经揭秘的真相，奈何女主陷入情网太深，FZ嫌疑人逃脱了FL的制裁。探长很是懊恼。。。
        ",0,2
" 距首部电影已经10年了，还是原班演员！这部剧情确实比较水，还特么卖腐！也就剩特效能看了。“荣获”当年金酸梅奖最差电影、最差导演、最差男主角三大奖项（汗）我看星际迷航的演员都想过一把导演瘾是吧？P.S.片中插曲《ROW,ROW,ROW YOUR BOAT》小学学的柯灵斯英语磁带里有！怀念啊~（貌似关注点不对
        ",0,0
" 一块神奇的绿石头
        ",0,2
" 王祖贤生来就是一女鬼
        ",0,1
" WTF....WTF....WTF!!!!!!
        ",0,0
" 号称第一la片 也不至于2001年的片子画质差成这样吧……无力看完……
        ",0,0
" 挺重口的
                
                
",0,1
" 肥肥中彩票系列第一集！
        ",0,1
" 好老的电影啊
        ",0,1
" 这部印象蛮深的，五福星加光头佬
        ",0,1
" 光头佬和许冠杰
        ",0,1
" 电视上看过！郑伊健学了一句泰语好，然后被戳穿了。
        ",0,0
" 对这电影有印象！
        ",0,2
" 这特么地到底再在讲啥，导演是不是精神分裂
                
                
",0,0
" 罗家英好搞笑。。
        ",0,1
" 好无聊的电影。。
        ",0,0
" 买卫生巾。。。
        ",0,0
" 当年狂追安藤时找来看的
                
                
",0,1
" 朱迅演的不错，后来没演戏做主持人有点可惜
        ",0,1
" 白白堆砌了一堆明星
        ",0,0
" 啧啧啧。。。。
        ",0,0
" 玛丽莎跟比利比较很显老啊
        ",0,1
" 吴宇森早期喜剧，中六合彩、误诊绝症、雇凶杀己、误闯疯人院、俄罗斯轮盘赌，情节堆砌，杂乱无章。说的还是钱乃身外之物的道理
        ",0,0
" 呵呵
        ",0,0
" 好扯的电影，电视上看的
        ",0,0
" 般般
        ",0,0
" 年轻真好啊，马王全面胜过史泰龙。组合应该找个喜剧演员，起码插科打诨说说笑话，两个人都木木的，还一聊聊好久，谁看啊
        ",0,1
" 黄沾的音乐还是不错的
        ",0,1
" 什么玩意儿
        ",0,0
" 实在是无亮点。。。。莫名其妙的故事
        ",0,0
" 滚犊子，烂片，，，
        ",0,0
" 凑合吧，当时看的不亦乐乎
        ",0,1
" 大失所望。芭芭拉年轻时也还是怪异精明的样貌和气质， 我一点都没有被她的爱情所感动。哈伯长得太英俊，表情却永远是壶温吞水，即使是在他发怒时。
        ",0,2
" 小日本也懂爱情？去死！！！
        ",0,1
" 就煽情呗
        ",0,0
" 一点也不好笑。
        ",0,0
" 2002年得片子，怎么看起来象几十年前的老片？？？
        ",0,0
" 连虎头蛇尾都算不上，就是烂头烂尾的一部片子，就像是买了一条2米的床单，结果回家发现床才0.5米的那种失落感，看这种片子不用担心的一点就是，主角永远不会屎。。还有凯文贝肯大叔，你长成那个样就非得本色演出猥琐男或者超反面吗？好歹偶尔要突破一下来个好大叔演演吧~
        ",0,0
" 发表完义正言辞的讲话后带钱离开的桥段.......真的是让我服了
        ",0,2
" 任贤齐真是毁片达人，逢演必烂。
        ",0,1
" 能把古龙这么著名的一段拍成这个鸟样也真是水平了！
        ",0,0
" 其实是对泰坦尼克号失事船只的探索，算是纪录片 不是电影
        ",0,1
" 看不下去。
        ",0,0
" 枪战，飙车，钻石，肌肉男，这么多经典的桥段怎么就配出这么一部狗血、低智商的片子呢~~
        ",0,1
" 没劲 跳着看了片段
        ",0,0
" 語速和劇情都緩慢得令人髮指，都21世紀了科幻片還能拍得這麼索然無味= =。再好的演員也駕馭不了這麼爛的劇本，導演簡直在浪費題材和人才。而且人物形象設計丑爆了。   能看完這部片子，說明我對老濕絕壁是真愛。
        ",0,0
" 这对父子真的一点也不像
这个故事真的没啥意思
这片导演真的没啥思想
        ",0,0
